Id,Stars,Ratings,Reviews,current_price,MRP,channel,Operating_system,Picture_quality,Speaker,Frequency
LG_029,0.0,0,0,104999,169990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20W x 2 Speaker Output,60 Hz Refresh Rate
LG_034,0.0,0,0,91564,139990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20W Speaker Output,60 Hz Refresh Rate
JVC_003,0.0,0,0,13990,15990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366x768 Pixels,12W x 2 Speaker Output,60 Hz Refresh Rate
SONY_036,4.6,0,0,59999,94900,Ultra HD (4K) 3840 x 2160 pixels Pixels,NO Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,1 YEAR
TOSHIBA_003,4.2,1110,177,28490,39990,Netflix|Prime Video|Youtube,Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Vu_005,4.4,31993,4975,54999,75000,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate
SAMSUNG_095,3.8,0,0,29900,29900,HD Ready 1366 x 768 Pixels,10 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,1 Year Comprehensive Warranty and 1 Year Additional Warranty on Panel
kinger_003,0.0,0,0,12999,22490,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1366x770 Pixels,24W x 4 Speaker Output,60 Hz Refresh Rate
Nokia_002,4.3,11336,1966,33999,45999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,39 W Speaker Output,60 Hz Refresh Rate
SAMSUNG_046,5.0,0,0,58990,82400,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
LG_006,4.4,5830,698,44990,64990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Blaupunkt_004,4.6,3380,928,35999,47999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,60 W Speaker Output,60 Hz Refresh Rate
PHILIPS_009,0.0,0,0,41999,119990,Netflix|Youtube,Operating System: Linux based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
DETEL_001,4.1,0,0,23499,44900,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate
LG_045,0.0,0,0,125390,209990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,40W Speaker Output,60 Hz Refresh Rate
LG_004,4.4,0,0,59999,109990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
SAMSUNG_016,4.2,0,0,38990,49990,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
SAMSUNG_008,4.3,6698,705,45990,68400,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Mi_008,4.3,40877,3658,42999,49999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Adsun_015,0.0,0,0,6199,12999,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,1 x HDMI | 2 x USB,A+ Grade
LG_025,4.5,801,121,84990,129990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
TCL_020,3.9,0,0,47499,79990,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,16 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB
SAMSUNG_025,4.5,4501,661,73999,129900,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,120 Hz Refresh Rate
SAMSUNG_091,3.9,0,0,66990,86900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
LG_083,4.4,5235,586,34490,41990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate
SAMSUNG_024,4.4,0,0,63990,86900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
SAMSUNG_080,4.5,0,0,146900,146900,Operating System: Tizen,Ultra HD (4K) 3840x2160 Pixels,20 W Speaker Output,200 Hz Refresh Rate,3 x HDMI | 2 x USB
SAMSUNG_077,0.0,0,0,295900,295900,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,120 Hz Refresh Rate,3 x HDMI | 2 x USB
Nokia_013,4.3,23243,3975,16999,19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,39 W Speaker Output,60 Hz Refresh Rate
Lloyd_004,0.0,0,0,18990,26890,HD Ready ?1366*768 Pixels,60 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,COMES WITH  1YR  WARRANTY
LG_033,0.0,0,0,139990,269900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate
TCL_001,4.3,0,0,31990,59990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,19 W Speaker Output,60 Hz Refresh Rate
LG_026,3.6,0,0,27399,34499,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Full HD 1920 x 1080 Pixels,20W Speaker Output,60 Hz Refresh Rate
LG_052,0.0,0,0,174999,209990,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
KODAK_009,0.0,0,0,23999,28999,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Panasonic_011,0.0,0,0,16803,19990,HD Ready 1366 x 768 Pixels,16 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 YEAR
Micromax_003,3.9,0,0,12999,24990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate
TCL_009,4.6,0,0,15990,29990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,16 rms Speaker Output,50 Hz Refresh Rate
iMEE_003,0.0,0,0,14499,19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,50 Hz Refresh Rate
PHILIPS_006,4.2,0,0,38999,105990,Netflix|Youtube,Operating System: Linux based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Yuwa_006,3.7,0,0,8449,21990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Dyanora_005,3.8,0,0,9499,18999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
realme_004,4.2,7279,982,17999,23999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1080 x 1920 Pixels,24 W Speaker Output,60 Hz Refresh Rate
MOTOROLA_003,4.4,0,0,28999,39000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Thomson_008,4.6,2427,585,33999,46999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate
Mi_007,4.3,5490,400,14999,19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
iMEE_002,0.0,0,0,10399,19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,50 Hz Refresh Rate
KODAK_006,4.3,3192,770,32999,39990,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
SAMSUNG_096,4.2,0,0,42990,66900,Full HD 1920 x 1080 Pixels,40 W Speaker Output,120 Hz Refresh Rate,2 x HDMI | 1 x USB,A+
SAMSUNG_017,4.3,0,0,42990,54900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Sansui_002,4.2,0,0,13999,20990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate
Vu_003,4.4,32043,4978,27999,45000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24W Speaker Output,60 Hz Refresh Rate
LG_087,4.4,0,0,15868,17990,HD Ready 1366 x 768 Pixels,10 W Speaker Output,300 Hz Refresh Rate,1 x HDMI | 1 x USB,IPS
LumX_002,3.9,0,0,7549,17900,HD Ready 1366X768 Pixels,20W Speaker Output,60 Hz Refresh Rate,1 x HDMI | 2 x USB,A+
Dyanora_006,4.4,0,0,27999,40999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
MOTOROLA_016,4.4,2762,508,44999,49999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 횞 2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate
Haier_010,4.5,0,0,30900,38990,Netflix|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate
SAMSUNG_032,4.4,0,0,39699,53900,Full HD 1920 x 1080 Pixels,40 W Speaker Output,120 Hz Refresh Rate,2 x HDMI | 1 x USB,A+
TCL_021,0.0,0,0,58999,119900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
SONY_010,0.0,0,0,28990,34900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Google TV,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
TCL_013,4.3,0,0,43990,109990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate
Vu_008,4.3,5234,1685,35999,60000,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate
LG_024,4.6,0,0,87999,149990,Netflix|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,100 Hz Refresh Rate
kinger_006,0.0,0,0,12999,22490,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1366x778 Pixels,24W x 12 Speaker Output,60 Hz Refresh Rate
kinger_002,0.0,0,0,12999,22490,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1366x785 Pixels,24W x 19 Speaker Output,60 Hz Refresh Rate
LG_028,4.2,0,0,35690,49990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate
Nokia_009,4.3,11336,1966,36999,50000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Sansui_004,0.0,0,0,13479,19990,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 year comprehensive warranty
MOTOROLA_010,4.4,9687,1532,19999,29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,40 W Speaker Output,60 Hz Refresh Rate
IMPEX_004,0.0,0,0,19999,28690,HD Ready 1366 x 768 Pixels,20W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,A+ Grade
TCL_012,4.3,0,0,12990,22990,HD Ready 720p Pixels,NO Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,1 Year Warranty on Product + 1 Year Additional on Panel
Maser_001,3.8,0,0,7499,7999,HD Ready 1366 x 768 Pixels,10 W Speaker Output,200 Hz Refresh Rate,1 x HDMI | 1 x USB,1 Year Maser India Warranty
HUIDI_005,4.0,4864,558,7699,17599,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+ Grade
Compaq_004,4.3,0,0,99999,229990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
LG_056,4.6,0,0,49990,74990,Netflix|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate
Mi_009,4.3,34983,3067,26999,31999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate
LG_074,4.8,0,0,104990,104990,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate
TCL_025,4.3,0,0,82990,159990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Coocaa_006,4.3,2662,600,31999,64990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate
TCL_011,4.4,0,0,86990,269990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate
MOTOROLA_020,4.3,13623,2223,57999,115399,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate
PHILIPS_002,4.2,0,0,42999,79990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,16 W Speaker Output,50 Hz Refresh Rate
LG_057,4.4,0,0,89990,159990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Adsun_004,3.8,6730,929,8699,21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
SAMSUNG_037,4.7,0,0,294900,294900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 횞 2160 Pixels,20 W Speaker Output,100 Hz Refresh Rate
kinger_027,0.0,0,0,12999,22490,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1366x774 Pixels,24W x 8 Speaker Output,60 Hz Refresh Rate
LG_077,3.7,0,0,164990,299990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,3 x HDMI | 2 x USB
TCL_019,5.0,0,0,157490,299990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,60 W Speaker Output,120 Hz Refresh Rate
LG_047,4.5,0,0,64999,99990,Netflix|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate
SAMSUNG_027,4.5,6879,1027,36999,52990,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Coocaa_007,4.2,14815,2326,12499,25990,Youtube,Operating System: Linux,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Akai_002,0.0,0,0,55947,99990,Ultra HD (4K) 1920 x 1080 Pixels,10W x 2 Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,1 Year Standard Warranty Provided By The Manufacturer From Date Of Purchase
Vu_021,4.4,23628,4873,16012,26500,Full HD 1920 x 1080 Pixels,7 + 7 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+ Grade
SONY_026,4.7,0,0,149999,244900,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,60 W Speaker Output,800 Hz Refresh Rate
SAMSUNG_003,4.4,7344,883,55490,80900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
SAMSUNG_053,0.0,0,0,318700,399900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,60 W Speaker Output,120 Hz Refresh Rate
SONY_007,0.0,0,0,70990,99900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
MOTOROLA_018,4.4,9687,1532,48999,59999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 占?2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate
SONY_014,3.7,0,0,107990,159990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,120 Hz Refresh Rate
Sansui_003,4.1,0,0,26999,35390,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
LG_085,4.3,0,0,58900,58900,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,3 x HDMI | 2 x USB,1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on panel/module
Dyanora_004,4.1,0,0,28499,43999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate
Micromax_001,4.0,0,0,21999,26990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Sansui_009,0.0,0,0,13290,17990,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,1 Year Comprehensive Warranty on Product and Additional 1 Year on Panel
LG_069,5.0,0,0,149999,219990,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate
SONY_001,4.6,844,174,23990,34900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
LG_037,0.0,0,0,349999,499990,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,60 W Speaker Output,120 Hz Refresh Rate
LG_053,4.4,0,0,54990,54990,Netflix|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate
MOTOROLA_013,4.3,20879,3410,30999,46050,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Adsun_013,3.8,6742,930,12999,22999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
OnePlus_001,4.3,101256,9189,16499,21999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
BPL_001,0.0,0,0,34990,60000,Ultra HD (4K) 3840 x 2160 - Ultra HD Pixels,8W x 2 Speaker Output,60 Hz Refresh Rate,3 x HDMI | 1 x USB,2 Year Comprehensive Domestic Warranty
Mi_002,4.3,34983,3067,21999,29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate
LumX_003,4.4,0,0,8999,23900,HD Ready 1366X768P Pixels,24w Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+
RGL_001,4.0,2068,328,13490,19500,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate
Vu_017,4.2,0,0,116000,116000,Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
TCL_010,4.4,0,0,28215,51990,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840x2160 Pixels,24W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 1 x USB
LG_046,4.7,0,0,159999,214990,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,120 Hz Refresh Rate
Panasonic_010,0.0,0,0,34614,42990,HD Ready 1920 x 1080 Pixels,20 Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,1 Year From Date of Purchase
LG_043,4.8,0,0,146620,209990,Netflix|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate
Thomson_009,4.4,22022,5952,36999,49999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,100 Hz Refresh Rate
LG_058,4.5,0,0,80990,80990,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB
acer_003,4.4,5445,897,25999,34990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate
LG_049,0.0,0,0,56440,84990,Netflix|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20W Speaker Output,60 Hz Refresh Rate
SONY_018,4.7,0,0,164999,329900,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,100 Hz Refresh Rate
LG_021,4.3,1124,111,18999,20490,Operating System: Linux,HD Ready 1366 x 768 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB
SAMSUNG_092,4.3,24838,4257,14999,28890,HD Ready 1366 x 768 Pixels,10 W Speaker Output for optimal sound,60 Hz Refresh Rate for a blur-free picture quality,2 x HDMI | 1 x USB,1 Year Standard Warranty and 1 Year Warranty on Panel from Samsung
kinger_012,0.0,0,0,12999,22490,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1366x782 Pixels,24W x 16 Speaker Output,60 Hz Refresh Rate
Hyundai_006,4.8,0,0,8999,15000,HD Ready 1366 x 768 Pixels,16 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+ Grade Panel
Croma_005,4.2,0,0,6990,15000,HD Ready 1366 x 786 Pixels,16 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+ Grade Panel
MOTOROLA_017,4.4,9686,1532,48999,59999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 占?2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate
